part	Recipient	Amount	Data	Sig
4	id__81hqZKeFSZMPSwHMmj-8p3dD5u4e3IT4KwzTQkgphoG3ZTTQRQpV	100000	NCFP-3(Part4)	sig_g93YXG4w_73UHrnJqqWbFZJswx7HgWqTJZ1buivAAQBJ7ZmyhqY3BkoCBdS.EEnK4DsDhb3wqkYzrbTPHpPefxGUirFe
5	id__86ydzPM~UNLR6qmbF~cNU2mVZo_YhwVSrc_x6JQJsszua_S7524c	100000	NCFP-3(Part5)	sig_gb6L7hJZwjE8--UiaTFbX_kM0shbJc0rku182F.XN1uZQWpqdmh4NCQqgjAJ3CK~rz_dXKRhHyAHCwp1sTPGRxX8ojXK
6	id__8eBoMRRVvQQe40FV5m03CYMbzwDqpY5SWjPsjy7bKQyi07~ubwHD	100000	NCFP-3(Part6)	sig_g8n5P.tG4sswgyp3TL0x6HaCgnocbvKgp4mLKg28zQSs3I1Zxsv5IQ7kJoi.UWMG-m-kv042PjTLIi_nLfc47g4SFFEC
7	id__8fx--L3AH-ow0sVuq_YKc9D_.~~MhE0g.jKCjQBYDGz72811JoPW	100000	NCFP-3(Part7)	sig_gbP80M8c8.BYPPzMKoDjhp0WA_Lpm2aAMZjK_DCP90y..LC6INISQ7GDJg.2xkY3yPEXC8wZoa5tkg2ujNmqTNBm3Q6n
8	id__83pY4aq.~JDzI5Etvy_gfAt5qC-1mxSXE7zAq.NyRGjeRKZ72xT5	100000	NCFP-3(Part8)	sig_g84JEwIKH18enDiVZnYzQ5tp.MiRFJ3QI.VcA1NQBS7~ZC4JVgs-MQ9gAyS_~jHTHgoZRC_TZpH59G-ImgwRVxRfWiUt
9	id__8dWMSD5CWsuSRFUCdC10_62~ya8nwyTzX_y7K0_H1ppYBEsF1teA	100000	NCFP-3(Part9)	sig_gc8qUv7UvRbpF20n-SJIih7wtdDe1M68e-HCcXz5Lwm.Fk5jPueuGu38HqejJimSL5w9athm1r0sN6wQheHEjgKfgNjk
10	id__89aCy9_LLZby~UiUUjC0LKdyrf-djXyf6EKBV6_KNdICIpCfGqK3	100000	NCFP-3(Part10)	sig_g9NEf5mc6f6Lz21e~18KsVVufDiRwqALj5BEfe~HcQQmqeuS~tL~wRjjQhJob4012vmDY5ygXo.Tu0CjGuW-ANLIn3VU
11	id__8bo.fFTWDC1m2hX6UWxw6Vgs2IsWTCJyIFAcm3V.BytZgoahsDN5	100000	NCFP-3(Part11)	sig_gb6SKW55S1J~t0tQRmpfRn0dMSDohjJIQfXsRPaLbqg31BKp42a1jXCBLIhaj9IpV5RLfN.wxqMmoXNv05.ehgiiwyuS
12	id__81oY3dDPpqkWnd2o2gpyGdWB1Ah9KDTdI2IX1kcWDG~9zSnx2qrV	100000	NCFP-3(Part12)	sig_geJqnC-JxRDHyMwzBcNzUuPtr_H9wzUGRTrGxNGI8-T7ERqkCqQxvn-fdkiufyUdpgaGgq1i0RNBK-Q.R5eFo0Q3omPS
13	id__84Vv_vrxPrMVz6AQNjx3~jj4nx.EoUE.ugTCv0hD5~Z5p5hM3PFu	100000	NCFP-3(Part13)	sig_g0pcmHg~I4La.F.daHsN9jNIjdpidYDT0IKZmRyh2qoecDFwRP3THCihCPqKfmz1ItozbbTAXHRjXRky94K7t0n~NFMH
